Model,AUC
1001000010111.pth,0.910849095
1001010001101.pth,0.905958276
1100010001101.pth,0.902853316
1000010110101.pth,0.902528614
1010010000111.pth,0.901087751
0000001011111.pth,0.899281598
0011000001111.pth,0.89897719
0100100001111.pth,0.898956896
1010010001110.pth,0.898916308
0010010010111.pth,0.898896014
0001010011110.pth,0.898429256
1011100000110.pth,0.898023379
1110110000100.pth,0.897901615
0011000100111.pth,0.897881322
1010110000101.pth,0.897495738
0110010000111.pth,0.897475444
1001110010100.pth,0.897455151
1010100010101.pth,0.897353681
0001100010111.pth,0.895648997
0010110000111.pth,0.89524312
0011010001101.pth,0.894674892
1000100011110.pth,0.894532835
1000010111100.pth,0.893984901
0011001010110.pth,0.893802257
1001001010101.pth,0.893010796
1001100011100.pth,0.892970209
0010011000111.pth,0.892746976
1100010100101.pth,0.892645507
1011011000100.pth,0.892361393
0001100011110.pth,0.892199042
1011001000110.pth,0.892016397
1000001001111.pth,0.891793165
0101000011101.pth,0.891651108
1100001010101.pth,0.890900235
1110100001100.pth,0.890433477
1110000010110.pth,0.890271126
1000111000101.pth,0.890230538
1000101010101.pth,0.890210244
0101100000111.pth,0.890149363
1110000100101.pth,0.890108775
0110010010110.pth,0.890088481
1110001000110.pth,0.889804367
0001101000111.pth,0.889682604
0100011001101.pth,0.889642016
0100110001101.pth,0.889560841
1011000101100.pth,0.888485267
0011011010100.pth,0.888180859
0011010100101.pth,0.887673512
0000110011101.pth,0.886882052
0011010110100.pth,0.886395
1100010011100.pth,0.886232649
0001001101101.pth,0.886192061
0101010010110.pth,0.886171767
1001100001101.pth,0.885299131
1111001000100.pth,0.884690316
0000110100111.pth,0.884548259
0110110000110.pth,0.884142382
0110100001110.pth,0.884061206
0010111000101.pth,0.883898855
0011001001110.pth,0.883695917
0111001000110.pth,0.883391509
0101110000110.pth,0.883066807
1110000011100.pth,0.8827624
1100100100101.pth,0.882579755
0001010101101.pth,0.882214465
1101001010100.pth,0.881118597
0001000111101.pth,0.879961848
0010010101110.pth,0.879008036
0101000101101.pth,0.879008036
1100111000100.pth,0.878784804
0000100110111.pth,0.878663041
1110011000100.pth,0.878439808
0101011000101.pth,0.876613361
0110001010101.pth,0.876511892
0001110100110.pth,0.876430717
0110011000101.pth,0.875903077
0101010101100.pth,0.875862489
0101000110101.pth,0.875537787
0000111100101.pth,0.874036042
0011001010101.pth,0.873934573
0100100110110.pth,0.873346051
0100001110110.pth,0.873102525
0100101010110.pth,0.872270476
0010110101100.pth,0.870525205
0100001110101.pth,0.870504911
0010001011101.pth,0.870403442
0000011101110.pth,0.869693157
1000011101100.pth,0.869307574
0010101100110.pth,0.869185811
0111000100110.pth,0.868779933
0001011101100.pth,0.867887004
0011011100100.pth,0.866385259
0010101010101.pth,0.86307736
0011001100101.pth,0.862103255
0100101100101.pth,0.861210326
0101100101100.pth,0.860256514
0010101110100.pth,0.857395081
0000111110100.pth,0.855264226
1100010011010.pth,0.757102849
1110000001011.pth,0.749025895
1111000000011.pth,0.745515058
1101000010011.pth,0.744540953
1101010010010.pth,0.741192467
1001010011010.pth,0.734414319
1101100010010.pth,0.733683741
1110100010010.pth,0.73130936
1111000100010.pth,0.724592094
1000110011010.pth,0.72420651
1011010001010.pth,0.723922396
1000100011011.pth,0.722927997
1100110100010.pth,0.716352788
1001010001011.pth,0.716312201
1011000110010.pth,0.715541034
1110101000010.pth,0.713714587
1010010110010.pth,0.710914035
1110001100010.pth,0.709189058
1000101011010.pth,0.70862083
0101010001011.pth,0.702837081
0110001011010.pth,0.70019888
1001110000011.pth,0.699793003
0100110011010.pth,0.698311551
1110001001001.pth,0.695287767
1001100110010.pth,0.695206591
1110001100001.pth,0.692974267
0101110000011.pth,0.692588684
1111011000000.pth,0.692020456
1111110000000.pth,0.691716048
0101011010010.pth,0.689625781
0100100011011.pth,0.688002273
0101010110010.pth,0.687149931
1001001101010.pth,0.686865817
1110011100000.pth,0.685648186
0111100001010.pth,0.683862326
0110110001010.pth,0.682969397
1101001001001.pth,0.681873529
1110101001000.pth,0.68035149
1011000111000.pth,0.68025002
1101110001000.pth,0.679844143
0110101001010.pth,0.676536245
0100001101011.pth,0.6763536
1101110100000.pth,0.674161864
1000011101010.pth,0.67182807
1100111010000.pth,0.671706307
1101011001000.pth,0.669900154
1011001110000.pth,0.669697216
1101010101000.pth,0.668946343
0111010100010.pth,0.666592256
0101110001010.pth,0.666287848
1010100110001.pth,0.66598344
1001010111000.pth,0.664420813
0110100100011.pth,0.663791704
0101101001010.pth,0.663669941
0110001011001.pth,0.663101713
0010010111010.pth,0.660524393
0110111000010.pth,0.657987661
1001100011001.pth,0.65650621
1000001111001.pth,0.654050653
1000110111000.pth,0.652183619
0111011001000.pth,0.65118922
0010001011011.pth,0.651026869
0111000101001.pth,0.650316584
1000111010001.pth,0.647962497
1000011111000.pth,0.647901615
0110010111000.pth,0.647373975
1100101101000.pth,0.64692751
0111110001000.pth,0.644532835
1000111011000.pth,0.644390778
0111100110000.pth,0.643335498
0111011010000.pth,0.642909327
1011110000001.pth,0.64250345
0011100010011.pth,0.641772871
1010110100001.pth,0.641224937
0010011010011.pth,0.640068187
1011110001000.pth,0.640068187
0011001011010.pth,0.639702898
1010011001001.pth,0.637754688
1010001101001.pth,0.635867359
1001110110000.pth,0.635826772
1010011101000.pth,0.632985632
0001010110011.pth,0.63239711
0001000111011.pth,0.630834483
0001110010011.pth,0.629373326
1011001101000.pth,0.62744541
1010110101000.pth,0.62565955
0011000101011.pth,0.624543388
0000011011011.pth,0.623914279
0101010111000.pth,0.623772222
0011110001010.pth,0.623061937
0000011111010.pth,0.620910788
0011011001010.pth,0.619084341
0110101100001.pth,0.614863219
1011111000000.pth,0.612001786
1001111000001.pth,0.607618313
0010101101010.pth,0.605893335
1000111001001.pth,0.60280867
1000110101001.pth,0.601753389
0100101101001.pth,0.594427307
0011111000010.pth,0.59322997
1001101101000.pth,0.591647049
0001100101011.pth,0.586837406
0011101000011.pth,0.584199204
0011100011001.pth,0.582474227
0001110100011.pth,0.579125741
1000111100001.pth,0.578922802
0000101101011.pth,0.57701518
1000111101000.pth,0.576284601
0000111011001.pth,0.57275347
0011101100010.pth,0.572388181
0011101110000.pth,0.572083773
0011001110001.pth,0.570439971
0011110011000.pth,0.566502963
0011011011000.pth,0.557573667
0001101110001.pth,0.537726276
0001111100001.pth,0.451741213
